id,title,location,area,baths,beds,garages,house_type,cost,image,status,slug,owner_id,created_at
20,At Banani flat for sale close to Banani Thana,"Banani, Dhaka","1,920",3,3,0,re,600000,image/21.png,1,At Banani flat for sale close to Banani Thana,65,2022-01-15 12:08:13.753592
21,A Flat Of 1347 Sq Ft Is Now Ready For Sale In Badda Near By Monpura School & College,"Uttar Badda, Badda, Dhaka","1,347",3,3,1,sh,6000000,image/22.png,0,A Flat Of 1347 Sq Ft Is Now Ready For Sale In Badda Near By Monpura School & College,20,2021-01-5 15:08:13.753592
22,This 1150 Sq Ft Well Defined Flat Is Now Vacant To Sale In Bagmoniram Ward,"15 No. Bagmoniram Ward, Chattogram","1,150",3,3,2,se,900000,image/23.png,1,This 1150 Sq Ft Well Defined Flat Is Now Vacant To Sale In Bagmoniram Ward,61,2022-01-15 12:08:13.753592
23,1252 Sq. Ft Apartment for Sale in Badda nearby Badda Post Office,"Uttar Badda, Badda, Dhaka","1,252",3,3,2,re,9000000,image/24.png,0,1252 Sq. Ft Apartment for Sale in Badda nearby Badda Post Office,10,2021-01-5 15:08:13.753592
24,A Decent 2600 Sq Ft Flat Which Is Near To Bangladesh Physiotherapy Hospital Is Now For Sale In Gulshan,"Gulshan 1, Gulshan, Dhaka","2,600",4,4,0,se,13000,image/25.png,0,A Decent 2600 Sq Ft Flat Which Is Near To Bangladesh Physiotherapy Hospital Is Now For Sale In Gulshan,90,2021-01-5 15:08:13.753592
25,Near To Al-Razi Islamia Hospital (Pvt) Limited See This Home For Sale Located In Banasree,"Block F, Banasree, Dhaka","1,700",3,3,2,re,130000,image/26.png,1,Near To Al-Razi Islamia Hospital (Pvt) Limited See This Home For Sale Located In Banasree,66,2021-01-15 15:08:13.753592
26,Grab This 1080 Sq Ft Apartment Ready For Sale In Hazaribag,"Hazaribag, Dhaka","1,080",2,3,3,se,45000,image/27.png,0,Grab This 1080 Sq Ft Apartment Ready For Sale In Hazaribag,67,2021-01-15 15:08:13.753592
27,"At Block H, Bashundhara R-A 1745 Square Feet Residential Apartment For Sale","Block H, Bashundhara R-A, Dhaka","1,745",3,3,3,sh,450000,image/28.png,0,"At Block H, Bashundhara R-A 1745 Square Feet Residential Apartment For Sale",30,2021-01-5 15:08:13.753592
28,"A Well-maintained Flat Of 1300 Sq Ft Is Prepared For Sale In Dakkhin Paikpara, Mirpur","Dakkhin Paikpara, Paikpara, Mirpur, Dhaka","1,300",3,3,0,se,450000,image/29.png,0,"A Well-maintained Flat Of 1300 Sq Ft Is Prepared For Sale In Dakkhin Paikpara, Mirpur",91,2022-01-15 12:08:13.753592
29,Beautiful Flat Is Up For Sale In Bashundhara R-A Nearby Sunflower School And College,"Block C, Bashundhara R-A, Dhaka","2,000",4,3,0,se,4500000,image/30.png,0,Beautiful Flat Is Up For Sale In Bashundhara R-A Nearby Sunflower School And College,80,2021-01-5 15:08:13.753592
30,We Have A 2350 Sq. Ft Flat For Sale in Bashundhara R-A Near By North South University,"Block B, Bashundhara R-A, Dhaka","2,350",4,3,2,re,16000,image/31.png,1,We Have A 2350 Sq. Ft Flat For Sale in Bashundhara R-A Near By North South University,49,2022-01-15 12:08:13.753592
31,819 Sq. Ft Apartment For Sale In Mirpur Nearby City Bank,"Section 11, Mirpur, Dhaka",819,2,2,1,sh,160000,image/32.png,0,819 Sq. Ft Apartment For Sale In Mirpur Nearby City Bank,9,2021-21-15 15:08:13.753592
32,"A Residential Building Is Ready For Sale At Dhanmondi , Near Sher-E-Bangla Road Jame Mosjid.","Dhanmondi, Dhaka","5,600",10,12,1,sh,25000,image/33.png,0,"A Residential Building Is Ready For Sale At Dhanmondi , Near Sher-E-Bangla Road Jame Mosjid.",3,2021-01-15 15:08:13.753592
33,1100 Sq. Ft Residential Apartment In Bashabo Is Ready For Sale,"Madartek, Bashabo, Dhaka","1,100",3,3,1,re,250000,image/34.png,1,1100 Sq. Ft Residential Apartment In Bashabo Is Ready For Sale,96,2021-01-5 15:08:13.753592
34,2294 Sq Ft Residential Apartment Is Up For Sale In Gulshan 1 Nearby Gulshan Post Office.,"Gulshan 1, Gulshan, Dhaka","2,294",4,3,2,sh,10000,image/35.png,1,2294 Sq Ft Residential Apartment Is Up For Sale In Gulshan 1 Nearby Gulshan Post Office.,45,2021-01-5 15:08:13.753592
35,"A 1550 Square Feet Apartment Waiting For Sale At Sector 11, Uttara With With Impressive Features","Sector 11, Uttara, Dhaka","1,550",3,3,2,se,100000,image/36.png,1,"A 1550 Square Feet Apartment Waiting For Sale At Sector 11, Uttara With With Impressive Features",100,2021-01-5 15:08:13.753592
36,A Worthy 1450 Sq Ft Residential Flat Is Ready For Sale At Adabor,"Baitul Aman Housing Society, Adabor, Dhaka","1,450",3,3,3,se,25000,image/37.png,1,A Worthy 1450 Sq Ft Residential Flat Is Ready For Sale At Adabor,37,2021-01-5 15:08:13.753592
37,Buy This Vacant Apartment In Adabor Near Baitul Aman Housing Society,"Baitul Aman Housing Society, Adabor, Dhaka","1,600",3,3,0,re,250000,image/38.png,0,Buy This Vacant Apartment In Adabor Near Baitul Aman Housing Society,21,2021-01-15 15:08:13.753592
38,Properly Designed This 1662 Square Feet Apartment Is Now Up For Sale In PC Culture Housing .,"PC Culture Housing, Mohammadpur, Dhaka","1,662",3,3,1,re,700000,image/39.png,0,Properly Designed This 1662 Square Feet Apartment Is Now Up For Sale In PC Culture Housing .,12,2021-01-15 15:08:13.753592
39,You Can Buy This Vacant Accommodation For Your Living At Adabor,"Baitul Aman Housing Society, Adabor, Dhaka",800,2,2,3,se,7000000,image/40.png,1,You Can Buy This Vacant Accommodation For Your Living At Adabor,10,2022-01-15 12:08:13.753592
40,A Residential Plot With Tin Shed Property Which Is Up For Sale At Dhanmondi Near To LABAID Cardiac Hospital,"Dhanmondi, Dhaka","1,353",3,3,3,sh,650000,image/41.png,1,A Residential Plot With Tin Shed Property Which Is Up For Sale At Dhanmondi Near To LABAID Cardiac Hospital,84,2021-01-5 15:08:13.753592
41,"We Bring You A Nice Residence Of 1660 Sq Ft For Sale In Shah Ali Bag, Mirpur 1","Shah Ali Bag, Section 1, Mirpur, Dhaka","1,660",3,3,3,se,6500000,image/42.png,1,"We Bring You A Nice Residence Of 1660 Sq Ft For Sale In Shah Ali Bag, Mirpur 1",15,2021-01-5 15:08:13.753592
42,"A Finely Built 2030 Sq Ft Flat Is Up For Sale In Gulshan 1, Nearby Chittagong Grammar School","Gulshan 1, Gulshan, Dhaka","2,030",3,3,2,se,700000,image/43.png,0,"A Finely Built 2030 Sq Ft Flat Is Up For Sale In Gulshan 1, Nearby Chittagong Grammar School",80,2022-01-15 12:08:13.753592
43,A Nicely Planned And Brand New Flat Is Up For Sale In Adabor Nearby Baitul Aman Housing Society Jame Mosque,"Baitul Aman Housing Society, Adabor, Dhaka","1,310",3,3,0,se,7000000,image/44.png,0,A Nicely Planned And Brand New Flat Is Up For Sale In Adabor Nearby Baitul Aman Housing Society Jame Mosque,55,2022-01-15 12:08:13.753592
44,2199 Sq Ft Flat Is Up For Sale In Banani-13B,"Banani, Dhaka","2,199",2,2,0,re,31000,image/45.png,0,2199 Sq Ft Flat Is Up For Sale In Banani-13B,51,2022-01-15 12:08:13.753592
45,"1050 Square Feet Apartment Is For Sale At Block F, Banasree","Block F, Banasree, Dhaka","1,050",3,3,0,sh,310000,image/46.png,1,"1050 Square Feet Apartment Is For Sale At Block F, Banasree",91,2021-01-5 15:08:13.753592
46,Available In Uttara Sector 5 This 1760 Square Feet Residential Apartment Is For Sale,"Sector 5, Uttara, Dhaka","1,760",3,3,3,se,11500,image/47.png,1,Available In Uttara Sector 5 This 1760 Square Feet Residential Apartment Is For Sale,53,2021-01-15 15:08:13.753592
47,This 2.42 Katha Plot Is Now Available For Sale In Hazaribag,"Hazaribag, Dhaka","1,742",3,3,0,se,114999,image/48.png,0,This 2.42 Katha Plot Is Now Available For Sale In Hazaribag,20,2021-21-15 15:08:13.753592
48,Check This Fine Looking Flat Of 1975 Sq Ft Offered For Sale Nearby Yamagata Dhaka Friendship Hospital At Lalmatia,"Lalmatia, Dhaka","1,975",2,2,1,sh,530000,image/49.png,0,Check This Fine Looking Flat Of 1975 Sq Ft Offered For Sale Nearby Yamagata Dhaka Friendship Hospital At Lalmatia,40,2021-21-15 15:08:13.753592
49,Reside Conveniently In This Well Constructed 1320 Sq. Ft Flat For Sale In Mirpur,"Block I, Arifabad Housing Society, Pallabi, Mirpur, Dhaka","1,320",2,2,3,sh,5300000,image/50.png,1,Reside Conveniently In This Well Constructed 1320 Sq. Ft Flat For Sale In Mirpur,37,2021-21-15 15:08:13.753592
50,In the location of Aftab Nagar an apartment for sale near City Bank Limited | ATM Booth,"Aftab Nagar, Dhaka",750,2,2,2,re,13500,image/51.png,0,In the location of Aftab Nagar an apartment for sale near City Bank Limited | ATM Booth,84,2021-01-5 15:08:13.753592
51,"An Apartment Up For Sale Is Located At Aftab Nagar , Near To Dhaka Imperial College.","Aftab Nagar, Dhaka",750,3,3,3,se,135000,image/52.png,1,"An Apartment Up For Sale Is Located At Aftab Nagar , Near To Dhaka Imperial College.",70,2022-01-15 12:08:13.753592
52,Visit This Apartment For Sale In Aftab Nagar Near Anandanagar Jame Mosque,"Aftab Nagar, Dhaka",750,2,2,3,sh,670000,image/53.png,1,Visit This Apartment For Sale In Aftab Nagar Near Anandanagar Jame Mosque,60,2021-01-15 15:08:13.753592
53,Offering You A Nice Flat For Sale In South Khulsi Near Khulshi Jame Masjid,"South Khulshi, Khulshi, Chattogram","1,550",4,4,2,sh,6700000,image/54.png,1,Offering You A Nice Flat For Sale In South Khulsi Near Khulshi Jame Masjid,16,2021-01-5 15:08:13.753592
54,"800 Square Feet Apartment Is For Sale In Nayatola, Maghbazar","Nayatola, Maghbazar, Dhaka",800,3,3,0,re,15500,image/55.png,1,"800 Square Feet Apartment Is For Sale In Nayatola, Maghbazar",90,2021-21-15 15:08:13.753592
55,Flat For Sale At Bashundhara R-a Near To Ebenzer International School,"Block C, Bashundhara R-A, Dhaka","2,220",2,3,3,se,155000,image/56.png,0,Flat For Sale At Bashundhara R-a Near To Ebenzer International School,99,2021-01-15 15:08:13.753592
56,2030 Sq Ft Apartment For Sale In Gulshan-1,"Gulshan 1, Gulshan, Dhaka","2,030",2,2,2,se,19000,image/57.png,1,2030 Sq Ft Apartment For Sale In Gulshan-1,24,2021-01-15 15:08:13.753592
57,"3 Bedroom Apartment Near To Kazipara Masjid, In Mirpur, Is Ready For Sale","Mirpur, Dhaka","1,075",2,2,1,re,190000,image/58.png,0,"3 Bedroom Apartment Near To Kazipara Masjid, In Mirpur, Is Ready For Sale",31,2021-21-15 15:08:13.753592
58,Properly Designed This 750 Sq Ft Apartment Is Now Up For Sale In Aftab Nagar,"Aftab Nagar, Dhaka",750,5,4,3,se,365000,image/59.png,0,Properly Designed This 750 Sq Ft Apartment Is Now Up For Sale In Aftab Nagar,47,2021-01-5 15:08:13.753592
59,"See This Residential Apartment For Sale In Mirpur , Section 6 .","Block C, Section 6, Mirpur, Dhaka",550,2,2,1,se,3650000,image/60.png,0,"See This Residential Apartment For Sale In Mirpur , Section 6 .",97,2022-01-15 12:08:13.753592
60,Amazing Flat Is Now Available For Sale In Maghbazar,"Maghbazar, Dhaka","3,000",2,3,1,sh,28500,image/61.png,0,Amazing Flat Is Now Available For Sale In Maghbazar,100,2021-01-5 15:08:13.753592
61,We Have A 550 Sq. Ft Flat For Sale In Mirpur-6.,"Block C, Section 6, Mirpur, Dhaka",550,2,3,3,sh,285000,image/62.png,0,We Have A 550 Sq. Ft Flat For Sale In Mirpur-6.,37,2022-01-15 12:08:13.753592
62,Nice 1398 Sq Ft Flat Is Available For Sale In Uttara 10,"Ranavola, Sector 10, Uttara, Dhaka","1,398",2,3,0,re,437000,image/63.png,0,Nice 1398 Sq Ft Flat Is Available For Sale In Uttara 10,9,2021-21-15 15:08:13.753592
63,Reasonable 1398 Sq Ft Flat Is Available For Sale In Uttara 10,"Ranavola, Sector 10, Uttara, Dhaka","1,398",2,3,1,re,4370000,image/64.png,1,Reasonable 1398 Sq Ft Flat Is Available For Sale In Uttara 10,71,2021-01-5 15:08:13.753592
64,Classy And Modern Apartment Of 1317 Sq Ft Is Up For Sale In Uttara -10,"Ranavola, Sector 10, Uttara, Dhaka","1,317",2,3,3,re,33000,image/65.png,0,Classy And Modern Apartment Of 1317 Sq Ft Is Up For Sale In Uttara -10,14,2021-01-15 15:08:13.753592
65,Beautiful Flat Of 1306 Sq Ft Is Available Right Now For Selling Purpose In Uttara Ranavola- Block D,"Ranavola, Sector 10, Uttara, Dhaka","1,306",3,3,2,re,330000,image/66.png,0,Beautiful Flat Of 1306 Sq Ft Is Available Right Now For Selling Purpose In Uttara Ranavola- Block D,48,2021-21-15 15:08:13.753592
66,A Beautifully Constructed Apartment Of 1306 Sq Ft Is Available Right Now For Sale In Uttara -10,"Ranavola, Sector 10, Uttara, Dhaka","1,306",2,3,1,re,13000,image/67.png,1,A Beautifully Constructed Apartment Of 1306 Sq Ft Is Available Right Now For Sale In Uttara -10,59,2021-21-15 15:08:13.753592
67,This 2260 Sq. Ft. Flat for Sale in Dhanmondi,"Dhanmondi, Dhaka","2,300",3,3,2,se,130000,image/68.png,0,This 2260 Sq. Ft. Flat for Sale in Dhanmondi,63,2021-01-5 15:08:13.753592
68,At Uttara 1398 Square Feet Flat Is Available For Sale,"Ranavola, Sector 10, Uttara, Dhaka","1,398",3,3,0,sh,930000,image/69.png,0,At Uttara 1398 Square Feet Flat Is Available For Sale,94,2021-01-15 15:08:13.753592
69,There Is 1430 Sq. Ft Apartment Up For Sale In The Location Of Green Road,"Kathalbagan, Dhaka","1,430",2,3,3,re,9300000,image/70.png,1,There Is 1430 Sq. Ft Apartment Up For Sale In The Location Of Green Road,65,2021-01-5 15:08:13.753592
70,"Offering You 1317 Sq Ft Nice Apartment For Sale In Ranavola, Sector 10, Uttara","Ranavola, Sector 10, Uttara, Dhaka","1,317",2,3,2,re,12200,image/71.png,1,"Offering You 1317 Sq Ft Nice Apartment For Sale In Ranavola, Sector 10, Uttara",72,2021-01-5 15:08:13.753592
71,Impressive Flat Of 1239 Sq Ft Is Up For Sale In Uttara Ranavola- Block D,"Ranavola, Sector 10, Uttara, Dhaka","1,239",2,3,2,se,122000,image/72.png,1,Impressive Flat Of 1239 Sq Ft Is Up For Sale In Uttara Ranavola- Block D,32,2021-21-15 15:08:13.753592
72,A Beautiful 1306 Sq Ft Apartment Is Now Available For Sale At Uttara Ranavola- Block D,"Ranavola, Sector 10, Uttara, Dhaka","1,306",2,2,1,se,880000,image/73.png,1,A Beautiful 1306 Sq Ft Apartment Is Now Available For Sale At Uttara Ranavola- Block D,84,2021-01-5 15:08:13.753592
73,A Nicely Build 1239 Sq Ft Apartment Is Available For Sale In Uttara -10,"Ranavola, Sector 10, Uttara, Dhaka","1,239",3,4,2,sh,8800000,image/74.png,0,A Nicely Build 1239 Sq Ft Apartment Is Available For Sale In Uttara -10,91,2021-21-15 15:08:13.753592
74,"2 Bedroom, 2 Bathroom Apartment With A View Is Up For Sale Nearby Haji Billet Ali School At Chalabon .","Chalabon, Dakshin Khan, Dhaka",800,3,4,1,re,650000,image/75.png,1,"2 Bedroom, 2 Bathroom Apartment With A View Is Up For Sale Nearby Haji Billet Ali School At Chalabon .",4,2022-01-15 12:08:13.753592
75,"1950 Sq Ft Flat Is Ready For Sale In The Wonderful Neighborhood Of Bashundhara R-a, Block F","Block F, Bashundhara R-A, Dhaka","1,950",2,3,1,re,6500000,image/76.png,1,"1950 Sq Ft Flat Is Ready For Sale In The Wonderful Neighborhood Of Bashundhara R-a, Block F",64,2021-01-5 15:08:13.753592
76,This 2645 Sq. Ft Flat For Sale In Uttara -7 Is All About It .,"Sector 7, Uttara, Dhaka","2,645",3,3,3,se,25000,image/77.png,1,This 2645 Sq. Ft Flat For Sale In Uttara -7 Is All About It .,63,2021-01-5 15:08:13.753592
77,Ready For Move In! Check This 1090 Sq. ft Home Which Is Up For Sale At North Shahjahanpur.,"Shahjahanpur, Dhaka","1,090",3,3,0,sh,250000,image/78.png,0,Ready For Move In! Check This 1090 Sq. ft Home Which Is Up For Sale At North Shahjahanpur.,57,2021-21-15 15:08:13.753592
78,Buy This 2000 Sq Ft Amazing Apartment In Dhanmondi-9,"Dhanmondi, Dhaka","2,000",3,3,0,re,750000,image/79.png,0,Buy This 2000 Sq Ft Amazing Apartment In Dhanmondi-9,13,2022-01-15 12:08:13.753592
79,"Grab This 1288 Sq Ft Apartment For Sale In Uttara, Sector 10, Ranavola- Block D","Ranavola, Sector 10, Uttara, Dhaka","1,288",3,3,0,re,7500000,image/80.png,1,"Grab This 1288 Sq Ft Apartment For Sale In Uttara, Sector 10, Ranavola- Block D",80,2022-01-15 12:08:13.753592
80,"An Apartment Of 1288 Sq Ft Is Waiting For Sale At Simco Muzaffar Garden City, Uttara -10","Ranavola, Sector 10, Uttara, Dhaka","1,288",3,3,2,re,27500,image/81.png,1,"An Apartment Of 1288 Sq Ft Is Waiting For Sale At Simco Muzaffar Garden City, Uttara -10",43,2021-01-15 15:08:13.753592
81,"Check Your Desired Apartment At This 1186 Sq Ft Flat For Sale At Ranavola, Uttara -10.","Ranavola, Sector 10, Uttara, Dhaka","1,186",3,3,2,re,275000,image/82.png,1,"Check Your Desired Apartment At This 1186 Sq Ft Flat For Sale At Ranavola, Uttara -10.",7,2021-01-15 15:08:13.753592
82,"Excellent Flat Of 1288 Sq Ft Is All Set For Sale In The Fine Location Of Ranavola, Uttara -10","Ranavola, Sector 10, Uttara, Dhaka","1,288",2,3,3,sh,570000,image/83.png,1,"Excellent Flat Of 1288 Sq Ft Is All Set For Sale In The Fine Location Of Ranavola, Uttara -10",54,2021-21-15 15:08:13.753592
83,Well Decorated 1221 Sq Ft Flat Is Up For Selling Purpose In Uttara Ranavola.,"Ranavola, Sector 10, Uttara, Dhaka","1,221",3,3,2,se,5700000,image/84.png,0,Well Decorated 1221 Sq Ft Flat Is Up For Selling Purpose In Uttara Ranavola.,4,2021-21-15 15:08:13.753592
84,Excellent Flat Of 1227 Sq Ft Is All Set For Sale In The Fine Location Of Uttara Ranavola- Block D,"Ranavola, Sector 10, Uttara, Dhaka","1,227",3,3,0,sh,28000,image/85.png,0,Excellent Flat Of 1227 Sq Ft Is All Set For Sale In The Fine Location Of Uttara Ranavola- Block D,95,2022-01-15 12:08:13.753592
85,A 1200 Square Feet Residential Apartment For Sale At Notunbag,"Block B, Notunbag, Taltola, Khilgaon, Dhaka","1,200",2,2,1,se,280000,image/86.png,0,A 1200 Square Feet Residential Apartment For Sale At Notunbag,17,2021-01-5 15:08:13.753592
86,"A Well-constructed 1440 Sq Ft Flat Is Ready For Sale In Block A, Bashundhara R-a","Block A, Bashundhara R-A, Dhaka","1,440",3,3,3,sh,522500,image/87.png,1,"A Well-constructed 1440 Sq Ft Flat Is Ready For Sale In Block A, Bashundhara R-a",16,2021-01-5 15:08:13.753592
87,"In The Location Of Sunibir Housing Society, Adabor An Adequate House Is For Sale .","Sunibir Housing Society, Adabor, Dhaka",750,1,2,1,re,5225000,image/88.png,0,"In The Location Of Sunibir Housing Society, Adabor An Adequate House Is For Sale .",20,2021-01-15 15:08:13.753592
88,"We Bring You An Excellent Flat Of 1186 Sq Ft For Sale In Uttara -10, Ranavola","Ranavola, Sector 10, Uttara, Dhaka","1,186",2,3,3,se,21500,image/89.png,1,"We Bring You An Excellent Flat Of 1186 Sq Ft For Sale In Uttara -10, Ranavola",29,2021-21-15 15:08:13.753592
89,A well-constructed 350 SQ FT flat is for sale in Postagola,"Karimullah Bag, Postagola, Shyampur, Dhaka",350,2,3,3,se,215000,image/90.png,1,A well-constructed 350 SQ FT flat is for sale in Postagola,65,2021-01-5 15:08:13.753592
90,Amazing Three Bedroom Flat With Lovely Views Is Up For Sale At Uttara Sector 10,"Ranavola, Sector 10, Uttara, Dhaka","1,306",3,3,0,re,30000,image/91.png,0,Amazing Three Bedroom Flat With Lovely Views Is Up For Sale At Uttara Sector 10,25,2022-01-15 12:08:13.753592
91,Hurry And Book This 1239 Sq. Ft Apartment Tailored To Your Highest Standards At Uttara -10,"Ranavola, Sector 10, Uttara, Dhaka","1,239",2,3,0,sh,300000,image/92.png,0,Hurry And Book This 1239 Sq. Ft Apartment Tailored To Your Highest Standards At Uttara -10,76,2021-21-15 15:08:13.753592
92,Magnificent And Modern Apartment Is Now Available For Sale In Uttara Sector 10,"Ranavola, Sector 10, Uttara, Dhaka","1,227",3,3,0,re,21000,image/93.png,0,Magnificent And Modern Apartment Is Now Available For Sale In Uttara Sector 10,69,2021-21-15 15:08:13.753592
93,Well Organized Flat Of 1239 Sq Ft Is Now Available For Sale In Uttara Sector 10,"Ranavola, Sector 10, Uttara, Dhaka","1,239",3,3,1,sh,210000,image/94.png,0,Well Organized Flat Of 1239 Sq Ft Is Now Available For Sale In Uttara Sector 10,99,2021-21-15 15:08:13.753592
94,A 1200 Square Feet And 3-bedroom Residential Apartment For Sale At Notunbag,"Block B, Notunbag, Taltola, Khilgaon, Dhaka","1,200",2,3,0,re,750000,image/95.png,0,A 1200 Square Feet And 3-bedroom Residential Apartment For Sale At Notunbag,46,2021-01-5 15:08:13.753592
95,At Notunbag This 1200 Square Feet Residential Apartment For Sale,"Block B, Notunbag, Taltola, Khilgaon, Dhaka","1,200",2,2,2,se,7500000,image/96.png,0,At Notunbag This 1200 Square Feet Residential Apartment For Sale,94,2021-21-15 15:08:13.753592
96,All Set For Selling Purpose This 1239 Sq Ft Flat In The Location Of Uttara Ranavola- Block D,"Ranavola, Sector 10, Uttara, Dhaka","1,239",3,3,0,se,450000,image/97.png,0,All Set For Selling Purpose This 1239 Sq Ft Flat In The Location Of Uttara Ranavola- Block D,41,2021-21-15 15:08:13.753592
97,"In Nobodoy Housing Society, This 950 Sq Ft Well Featured Residence Is Waiting For Sale","Block D, Nobodoy Housing Society, Mohammadpur, Dhaka",950,3,3,0,sh,4500000,image/98.png,1,"In Nobodoy Housing Society, This 950 Sq Ft Well Featured Residence Is Waiting For Sale",59,2021-01-5 15:08:13.753592
98,A Nicely Planned Flat Is Up For Sale In Uttara Nearby Uttara High School And College,"Sector 7, Uttara, Dhaka","1,500",3,3,0,sh,450000,image/99.png,1,A Nicely Planned Flat Is Up For Sale In Uttara Nearby Uttara High School And College,89,2022-01-15 12:08:13.753592
99,"At Aftab Nagar, A 1500 Sq Ft Flat Is Available For Sale Close To Ewu","Sector 1, Block D, Aftab Nagar, Dhaka","1,500",2,3,3,sh,4500000,image/100.png,0,"At Aftab Nagar, A 1500 Sq Ft Flat Is Available For Sale Close To Ewu",56,2021-01-5 15:08:13.753592
